차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Tucson (NX4 PHEV),수출,503,964.0,949.0,1001.0,1065.0,1009.0,867.0,920.0,837.0,984.0,995.0,1158.0,2023,0,
NEXO (FE),수출,97,40.0,29.0,27.0,15.0,3.0,3.0,7.0,0.0,0.0,2.0,1.0,2023,0,
IONIQ 5 (NE),수출,6989,7845.0,7474.0,7474.0,8242.0,7723.0,7215.0,6725.0,6260.0,7669.0,7268.0,7403.0,2023,0,
IONIQ 5 N (NE N),수출,0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,14.0,954.0,2023,0,
Santa-Fe (TM),수출,1554,2003.0,2408.0,3513.0,3913.0,4445.0,3238.0,2710.0,80.0,4.0,1.0,21.0,2023,0,
Santa-Fe (TM HEV),수출,1145,842.0,1296.0,1398.0,1121.0,1032.0,1186.0,995.0,499.0,258.0,0.0,0.0,2023,0,
Santa-Fe (TM PHEV),수출,539,1317.0,1200.0,1257.0,1310.0,1848.0,1381.0,1108.0,823.0,408.0,4.0,19.0,2023,0,
Santa-Fe (MX5),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,628.0,2023,0,
Santa-Fe (MX5 HEV),수출,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2023,0,
Santa-Fe (MX5 PHEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2023,0,
Palisade (LX2),수출,5222,9456.0,10062.0,8074.0,8743.0,9340.0,9980.0,10334.0,11400.0,14805.0,13347.0,14205.0,2023,0,
GV60 (JW),수출,966,796.0,864.0,589.0,618.0,546.0,618.0,653.0,566.0,302.0,151.0,278.0,2023,0,
GV70 (JK),수출,2190,3450.0,2615.0,2549.0,3207.0,1781.0,889.0,424.0,726.0,1015.0,807.0,558.0,2023,0,
GV70 EV (JK EV),수출,139,378.0,199.0,93.0,62.0,108.0,121.0,88.0,85.0,109.0,46.0,70.0,2023,0,
GV80 (JX),수출,1884,1842.0,2343.0,2277.0,2472.0,2350.0,2711.0,2296.0,2072.0,3298.0,1691.0,2373.0,2023,0,
LCV,수출,3049,3696.0,3695.0,4618.0,4013.0,4252.0,4203.0,3245.0,3804.0,4094.0,3737.0,3664.0,2023,0,
HCV,수출,482,553.0,732.0,752.0,928.0,930.0,660.0,731.0,661.0,737.0,640.0,554.0,2023,0,
Xcent (AI3 4DR),내수,5516,5053.0,4883.0,4526.0,4433.0,4299.0,4757.0,4304.0,4462.0,4805.0,4248.0,3852.0,2024,HMI,
Grand i10 (AI3 5DR),내수,6865,4947.0,5034.0,5117.0,5328.0,4948.0,4922.0,5365.0,5103.0,6235.0,5667.0,4489.0,2024,HMI,
i20 (BI3 5DR),내수,7083,5131.0,5155.0,5199.0,5169.0,5315.0,4937.0,4913.0,4428.0,5354.0,3925.0,3453.0,2024,HMI,
Verna (Hci),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMI,
Verna (BN7i),내수,2168,1678.0,1712.0,1571.0,1381.0,1424.0,1420.0,1194.0,1198.0,1272.0,1213.0,872.0,2024,HMI,
Exter (AI3 SUV),내수,8229,7582.0,8475.0,7756.0,7697.0,6908.0,6037.0,6632.0,6908.0,7127.0,5747.0,5270.0,2024,HMI,
Venue (QXi),내수,11831,8933.0,9614.0,9120.0,9327.0,9890.0,8840.0,9085.0,10259.0,10901.0,9754.0,10265.0,2024,HMI,
Creta (SU2i),내수,13212,15276.0,16458.0,15447.0,14662.0,16293.0,17350.0,16762.0,15902.0,17497.0,15452.0,12608.0,2024,HMI,
Creta (SU2i LWB),내수,1827,1290.0,1420.0,1219.0,944.0,882.0,585.0,1105.0,2712.0,2204.0,2134.0,1342.0,2024,HMI,
Kona EV (OSi EV),내수,102,86.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMI,
IONIQ5 (NEi),내수,95,66.0,65.0,45.0,42.0,30.0,35.0,40.0,31.0,32.0,22.0,24.0,2024,HMI,
Tucson (NX4i),내수,183,157.0,110.0,201.0,168.0,114.0,129.0,125.0,98.0,141.0,84.0,33.0,2024,HMI,
Xcent (AI3 4DR),수출,1452,1394.0,2701.0,3407.0,2950.0,2700.0,2685.0,2564.0,2537.0,2173.0,2153.0,2423.0,2024,HMI,
Grand i10 (AI3 5DR),수출,2821,3480.0,2675.0,2925.0,3671.0,3704.0,4564.0,4395.0,3388.0,4707.0,3376.0,4072.0,2024,HMI,
i20 (BI3 5DR),수출,226,407.0,577.0,265.0,887.0,410.0,375.0,587.0,532.0,512.0,1045.0,95.0,2024,HMI,
Verna (Hci),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMI,
Verna (BN7i),수출,4845,3475.0,4730.0,4499.0,4047.0,5416.0,4673.0,3563.0,4863.0,4641.0,4031.0,4054.0,2024,HMI,
Exter(AI3 SUV),수출,29,26.0,40.0,13.0,2.0,5.0,1008.0,1009.0,733.0,919.0,1165.0,553.0,2024,HMI,
Venue(QXi),수출,172,701.0,929.0,1449.0,1279.0,1015.0,591.0,1104.0,719.0,501.0,264.0,429.0,2024,HMI,
Creta(SU2i),수출,279,292.0,12.0,1.0,375.0,406.0,308.0,268.0,306.0,654.0,172.0,386.0,2024,HMI,
Creta(SU2i LWB),수출,676,525.0,936.0,941.0,1189.0,1044.0,1346.0,160.0,22.0,403.0,800.0,858.0,2024,HMI,
i10 (AC3),내수,114,181.0,179.0,217.0,20.0,3.0,270.0,206.0,106.0,177.0,259.0,142.0,2024,HAOS,
i20 (BC3),내수,1279,966.0,1529.0,1903.0,2207.0,1774.0,1043.0,1457.0,2021.0,2020.0,2195.0,3308.0,2024,HAOS,
Bayon (BC3 CUV),내수,1186,1441.0,1200.0,1157.0,1061.0,1536.0,1182.0,1141.0,1271.0,1227.0,2496.0,2686.0,2024,HAOS,
i20 N (BC3 N),내수,49,51.0,50.0,50.0,0.0,174.0,76.0,50.0,0.0,0.0,0.0,0.0,2024,HAOS,
i10 (AC3),수출,6778,6477.0,7122.0,5594.0,7113.0,6203.0,6823.0,4089.0,7427.0,7969.0,7625.0,7268.0,2024,HAOS,
i20 (BC3),수출,7505,7370.0,9268.0,4903.0,7849.0,4710.0,7167.0,4398.0,5561.0,7223.0,7929.0,7448.0,2024,HAOS,
Bayon (BC3 CUV),수출,4313,3357.0,2476.0,2523.0,4647.0,2965.0,4554.0,3320.0,3367.0,3184.0,2010.0,1358.0,2024,HAOS,
i20 N (BC3 N),수출,887,596.0,734.0,538.0,146.0,292.0,171.0,143.0,360.0,224.0,16.0,0.0,2024,HAOS,
Elantra (CN7c),내수,7008,6631.0,12105.0,5301.0,7129.0,5845.0,1803.0,3054.0,3843.0,2373.0,2396.0,3149.0,2024,BHMC,
Sonata (DN8c),내수,22,273.0,1103.0,2038.0,2088.0,1913.0,821.0,770.0,767.0,756.0,985.0,1248.0,2024,BHMC,
