해외 공장,차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,공장 국가,공장명(국가),공장 코드
HAOS,Bayon (BC3 CUV),수출,4313,3357.0,2476.0,2523.0,4647.0,2965.0,4554.0,3320.0,3367.0,3184.0,2010.0,1358.0,2024,터키,,
HAOS,i20 N (BC3 N),수출,887,596.0,734.0,538.0,146.0,292.0,171.0,143.0,360.0,224.0,16.0,0.0,2024,터키,,
BHMC,Elantra (CN7c),내수,7008,6631.0,12105.0,5301.0,7129.0,5845.0,1803.0,3054.0,3843.0,2373.0,2396.0,3149.0,2024,중국,,
BHMC,Sonata (DN8c),내수,22,273.0,1103.0,2038.0,2088.0,1913.0,821.0,770.0,767.0,756.0,985.0,1248.0,2024,중국,,
BHMC,Custo (KU),내수,748,423.0,891.0,482.0,1047.0,905.0,635.0,851.0,1112.0,1273.0,800.0,1443.0,2024,중국,,
BHMC,Mufasa (NU2),내수,2595,2012.0,3779.0,624.0,908.0,991.0,387.0,324.0,628.0,780.0,466.0,1758.0,2024,중국,,
BHMC,La festa (SQ),내수,52,10.0,326.0,604.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2024,중국,,
BHMC,Verna (YC),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,중국,,
BHMC,Celesta (ID),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,중국,,
BHMC,Mistra (DU2),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,중국,,
BHMC,Tucson (NX4c),내수,3567,2741.0,2740.0,897.0,1791.0,1750.0,1053.0,1625.0,1837.0,866.0,2082.0,1359.0,2024,중국,,
BHMC,Tucson HEV (NX4c HEV),내수,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2024,중국,,
BHMC,ix35 (NU),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,중국,,
BHMC,Santa Fe (MX5c),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,810.0,342.0,271.0,258.0,2024,중국,,
BHMC,Santa Fe (TMc),내수,60,20.0,59.0,55.0,37.0,7.0,3.0,110.0,0.0,60.0,0.0,167.0,2024,중국,,
BHMC,BHMC,수출,171,0.0,437.0,2644.0,3617.0,3113.0,2517.0,6007.0,6394.0,4733.0,9349.0,5656.0,2024,중국,,
HMMA,Elantra (CN7a),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Sonata (DN8a),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Tucson (NX4a),내수,15840,11553.0,12313.0,11016.0,6689.0,12834.0,7944.0,14515.0,11447.0,14717.0,12167.0,10065.0,2024,미국,,
HMMA,Tucson OB (NX4a OB),내수,4644,3729.0,2786.0,3196.0,3427.0,2193.0,1078.0,2262.0,2484.0,2406.0,1741.0,1693.0,2024,미국,,
HMMA,Santa-Fe (TMa),내수,1895,35.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Santa-Fe HEV (TMa HEV),내수,741,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Santa-Fe (MX5a),내수,1935,8882.0,11326.0,10577.0,10474.0,8263.0,6780.0,9518.0,7769.0,10053.0,8141.0,7784.0,2024,미국,,
HMMA,Santa-Fe (MX5a HEV),내수,0,0.0,40.0,4044.0,4278.0,4160.0,3323.0,3979.0,4067.0,5244.0,3859.0,3487.0,2024,미국,,
HMMA,GV70 (JKa),내수,3281,1565.0,625.0,3120.0,2325.0,915.0,1357.0,1777.0,1739.0,1773.0,1659.0,1262.0,2024,미국,,
HMMA,GV70 EV (Jka EV),내수,204,180.0,192.0,184.0,190.0,370.0,354.0,331.0,168.0,169.0,177.0,129.0,2024,미국,,
HMMA,Elantra(CN7a),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Sonata (DN8a),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,미국,,
HMMA,Tucson (NX4a),수출,0,0.0,0.0,0.0,0.0,0.0,1367.0,1166.0,1068.0,1089.0,967.0,1390.0,2024,미국,,
