차종,차량 유형,거래 유형,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Santa-Fe (TM),휴양용 차량,수출,1554,2003,2408,1991,1991,1991,1991,1991,1991,1991,1991,1991,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Sonata (DN8 HEV),승용차,내수,634,634,634,634,634,693,554,744,671,634,634,634,825,825,776,786,778,814,695,956,1043,825,825,825,1263,955
Sonata (DN8 HEV),승용차,수출,1292,1029,1834,1687,1408,1099,1316,1383,1334,1846,1732,1097,1906,1906,1906,1906,1906,2390,2014,2378,1980,1373,1906,1577,1770,2004
Sonata (DN8),승용차,내수,1893,1893,1893,1893,1432,2258,1588,1856,1869,1893,1893,1893,2448,2448,2448,2448,2448,2234,2412,2239,2296,2199,3133,2448,1785,2004
Sonata (DN8),승용차,수출,3376,3555,3890,3482,3756,4119,4104,4119,3329,5038,4119,4119,6056,6056,7148,6056,6056,6056,6193,4723,5762,6408,4521,7021,5386,5564
Sonata (LF),승용차,내수,996,777,777,777,901,777,673,777,777,777,777,777,1012,1012,1012,1012,1012,1012,934,1183,1131,1012,1012,1012,2007,2195
Tucson (NX4 HEV),휴양용 차량,내수,1592,1606,1782,1703,1697,1686,1644,1317,1341,1510,1378,1705,2495,2382,1933,2445,1851,2382,2382,2316,2901,2382,3060,2382,1539,1469
Tucson (NX4 HEV),휴양용 차량,수출,3396,4614,4235,3758,4471,4711,3804,3800,3428,4124,3810,4166,6998,7566,6888,7233,8475,7319,7315,8864,8868,7947,7121,8953,5908,4817
Tucson (NX4 PHEV),휴양용 차량,수출,938,964,949,1001,1065,1009,867,920,837,984,995,1158,944,966,917,836,980,931,851,849,836,836,827,697,851,1098
Tucson (NX4),휴양용 차량,내수,2044,1955,2454,2409,2544,2065,1546,1659,1785,1922,1827,1883,2657,2223,1591,1817,2223,2592,1937,1649,1652,2835,2523,2223,2097,2469
Tucson (NX4),휴양용 차량,수출,7372,6623,6365,7256,6755,7315,7646,6811,5856,8753,7575,6577,3966,5082,3966,4811,2781,3661,2942,3679,3624,3254,3728,3353,5164,5164
Tucson (TL),휴양용 차량,내수,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Tucson (TL),휴양용 차량,수출,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Veloster (JS N),승용차,내수,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Veloster (JS N),승용차,수출,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Venue (QX),휴양용 차량,내수,646,492,526,690,511,690,546,690,771,690,776,526,323,323,283,295,387,494,365,299,411,439,395,415,694,555
Venue (QX),휴양용 차량,수출,5273,5843,6061,5505,5955,5043,5043,4529,4019,4705,4874,5505,5930,4770,5922,5266,3712,4580,3567,4770,4949,5825,5553,5424,5314,6910
i30 (PD),승용차,수출,1564,1107,1523,1273,1070,1280,1452,1538,1273,1278,1273,1412,1009,1009,630,1009,1009,1009,1009,1009,1009,1009,595,1009,2007,2195
