지역명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
아프리카,CKD(모듈형 조립 방식),Soul,0,,,,,,,,,,,,2025
아프리카,한국,Soul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Soul,0.0,,,,,,,,,,,,2025
아프리카,한국,Soul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,러시아(CKD 포함),Soul (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Soul EV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Soul EV,0.0,,,,,,,,,,,,2025
아프리카,한국,Soul EV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Sportage,0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Sportage,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,Sportage,0.0,,,,,,,,,,,,2025
아프리카,한국,Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Sportage,0.0,,,,,,,,,,,,2025
아프리카,한국,Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,슬로바키아,Sportage,456.0,543.0,425.0,700.0,928.0,513.0,884.0,682.0,759.0,913.0,1007.0,1179.0,2023
아프리카,슬로바키아,Sportage,616.0,476.0,743.0,744.0,780.0,1104.0,791.0,743.0,733.0,515.0,553.0,533.0,2024
아프리카,슬로바키아,Sportage,780.0,,,,,,,,,,,,2025
아프리카,미국,Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,미국,Sportage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,미국,Sportage,0,,,,,,,,,,,,2025
아프리카,중국,Sportage (KX5),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Stinger,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2024
아프리카,한국,Stinger,0.0,,,,,,,,,,,,2025
아프리카,한국,Stinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,CKD(모듈형 조립 방식),Stonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Stonic,0.0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Stonic,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Stonic,115.0,267.0,134.0,255.0,39.0,62.0,308.0,440.0,124.0,101.0,99.0,164.0,2024
아프리카,한국,Stonic,129.0,,,,,,,,,,,,2025
아프리카,한국,Stonic,97.0,134.0,105.0,150.0,132.0,201.0,152.0,121.0,88.0,130.0,328.0,269.0,2023
아프리카,인도,Syros,0.0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),Tasman,0,,,,,,,,,,,,2025
아프리카,한국,Tasman,0.0,,,,,,,,,,,,2025
아프리카,특수 차량,Tasman,0.0,,,,,,,,,,,,2025
아프리카,특수 차량,Tasman (CKD),0,,,,,,,,,,,,2025
아프리카,미국,Telluride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,미국,Telluride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,미국,Telluride,0.0,,,,,,,,,,,,2025
아프리카,중국,Zhipao,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
아프리카,중국,Zhipao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,Zhipao,0,,,,,,,,,,,,2025
아시아/태평양,특수 차량,Bongo,0.0,7.0,6.0,3.0,7.0,6.0,8.0,14.0,5.0,13.0,8.0,16.0,2023
아시아/태평양,특수 차량,Bongo,3.0,3.0,8.0,10.0,4.0,5.0,2.0,9.0,3.0,3.0,4.0,43.0,2024
아시아/태평양,특수 차량,Bongo,2,,,,,,,,,,,,2025
아시아/태평양,특수 차량,Bongo (CKD),0.0,18.0,60.0,0.0,20.0,17.0,34.0,24.0,0.0,10.0,0.0,0.0,2023
