통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,16,원/스웨덴크로나,200,말일자료,원 ,원자료,127.82,129.06,125.82,126.15,129.9,130.72,128.58,130.66,130.92,129.55,127.62,133.23,129.52,133.84
3.1.2.1. 주요국 통화의 대원화환율,18,원/덴마크크로나,100,평균자료,원 ,원자료,193.66,192.83,194.1,196.63,197.89,199.16,201.02,199.89,198.61,198.6,198.82,201.46,201.61,201.81
3.1.2.1. 주요국 통화의 대원화환율,18,원/덴마크크로나,200,말일자료,원 ,원자료,193.58,193.98,194.8,198.13,199.91,199.37,200.67,198.37,197.68,201.38,197.39,204.98,199.52,200.7
3.1.2.1. 주요국 통화의 대원화환율,19,원/노르웨이크로나,100,평균자료,원 ,원자료,127.29,126.28,125.53,125.46,127.2,130.16,128.28,126.52,125.68,125.51,126.18,127.9,128.17,129.1
3.1.2.1. 주요국 통화의 대원화환율,19,원/노르웨이크로나,200,말일자료,원 ,원자료,127.45,125.95,124.03,125.37,130.48,130.32,126.42,127.17,125.67,126.21,126.32,129.62,126.54,128.06
3.1.2.1. 주요국 통화의 대원화환율,43,원/러시아루블,100,평균자료,원 ,원자료,14.82,14.52,14.55,14.71,15.01,15.67,15.84,15.22,14.67,14.12,13.86,13.83,14.04,15.6
3.1.2.1. 주요국 통화의 대원화환율,43,원/러시아루블,200,말일자료,원 ,원자료,14.85,14.57,14.55,14.8,15.25,16.34,16.15,14.59,13.99,14.27,12.91,13.3,14.55,16.42
3.1.2.1. 주요국 통화의 대원화환율,44,원/헝가리포린트,100,평균자료,원 ,원자료,3.78,3.71,3.66,3.73,3.81,3.77,3.82,3.78,3.75,3.69,3.62,3.65,3.65,3.73
3.1.2.1. 주요국 통화의 대원화환율,44,원/헝가리포린트,200,말일자료,원 ,원자료,3.73,3.67,3.69,3.78,3.83,3.75,3.79,3.77,3.71,3.68,3.55,3.72,3.66,3.74
3.1.2.1. 주요국 통화의 대원화환율,45,원/폴란트즈워티,100,평균자료,원 ,원자료,330.95,332.31,336.1,340.74,344.91,344.01,350.09,347.51,346.5,343.09,342.08,351.91,353.42,360.8
